代谢物,F_stat,p_value,effect_size
3-Hydroxybutyrate,6.258303902931425,0.005846358604526457,0.31674297215374386
ATP,2.5184701766400788,0.09933947838754983,0.15722289013046856
Acetate,11.218528661243479,0.0002842500526339262,0.45385098826020226
Alanine,25.54231585385068,5.939852651900621e-07,0.6542213312720663
Aspartate,85.14571094912878,2.1849931411804757e-12,0.8631466095169417
Choline,1.0545500871385294,0.3622615802610254,0.07245501103262614
Creatine,11.919677450168841,0.00019485448005674964,0.4689153697380875
Creatine phosphate,107.0005272224227,1.4660712905417993e-13,0.8879672951548057
Glucose,19.155521164780936,6.62356060849344e-06,0.586593644245379
Glutamate,31.10022242691205,9.850449357916776e-08,0.6973109265963201
Glutamine,142.67076873639058,4.424959250445984e-15,0.9135561660531526
Glutathione,66.70868672282425,3.5687563577784175e-11,0.831689053248662
Glycine,17.10406106652698,1.590334814804523e-05,0.5588820721977462
Histidine,34.53855875660064,3.614442240410512e-08,0.7189757488687136
Isoleucine,48.1797128601444,1.2376112277189392e-09,0.781127385748203
Lactate,22.594165908288655,1.714376623580666e-06,0.6259783358257393
Leucine,61.656050499807435,8.589987968604318e-11,0.8203737435612776
Lysine,34.38649979618528,3.772498760963532e-08,0.7180833834701065
O-Phosphocholine,8.493683228684372,0.0013755720339698068,0.38618739482465664
Ornithine,52.13355044963906,5.349414502155167e-10,0.7943125138360667
Phenylalanine,36.06155660116533,2.371642431509491e-08,0.7276114608619341
Proline,11.04014932643959,0.00031344666988703695,0.4498810980968609
Taurine,1628.6916388451339,7.100420684771427e-29,0.9917792785685515
Threonine,1.0885965988724273,0.35101317401498916,0.07461969295638564
Tyrosine,29.74184294844008,1.4955441576856918e-07,0.6878023904740398
Valine,27.827203657956105,2.756256298398498e-07,0.6733386533545185
beta-Alanine,69.10956006970812,2.396606308675494e-11,0.8365806573887049
myo-Inositol,59.86358097987659,1.1899229248741638e-10,0.8159849911947047
sn-Glycero-3-phosphocholine,4.586660666237829,0.01928268919729253,0.2535935599654224
