pid,p_value,fdr
mmu00480,0.003700208910333285,0.033070617136103736
mmu00010,0.0020506333771992047,0.02255696714919125
mmu00630,0.0017999339704782118,0.021308371171907068
mmu00250,7.139033620826374e-05,0.0015705873965818021
mmu00470,2.020050853349354e-12,9.62890906763192e-11
mmu04964,0.008604618020707354,0.06651137172762982
mmu05230,8.375521150501439e-22,1.1976995245217058e-19
mmu00260,4.259629917200054e-05,0.0010152117969326794
mmu00290,3.177823957486179e-05,0.000985778461415029
mmu00330,0.00025612751265034273,0.0040695815898887785
mmu00430,3.791455620827035e-05,0.000985778461415029
mmu00770,0.0018626198576841841,0.021308371171907068
mmu04066,0.0002271174076125941,0.0038209163868942304
mmu04911,0.004285589086604295,0.0360493670226126
mmu04930,0.0010048908763032414,0.01436993953113635
mmu00280,0.004923641564119924,0.04023318535252281
mmu00410,0.002250093170080266,0.02263549618823518
mmu04725,0.004285589086604295,0.0360493670226126
mmu02010,2.894889641660558e-19,2.069846093787299e-17
mmu04068,0.0006734280639469442,0.01013686454151716
mmu04148,2.1727789909601013e-05,0.0007767684892682362
mmu04917,8.423777467652424e-05,0.001606133570499062
mmu04978,4.973517970085536e-15,2.8448522788889265e-13
mmu04742,0.002250093170080266,0.02263549618823518
mmu04974,3.119495657935146e-24,8.921757581694518e-22
mmu00564,0.01099208451399418,0.08272989923690356
mmu05034,0.0029525384415602144,0.027239548202781336
mmu00220,3.791455620827035e-05,0.000985778461415029
mmu00340,0.00676221395683263,0.05372203310150367
mmu04727,0.002374352747017676,0.02263549618823518
mmu00910,0.01183569816310839,0.08679511986279487
mmu00970,2.2901505188080965e-19,2.069846093787299e-17
mmu04080,3.4819475654080837e-06,0.00014226242910095885
mmu04724,0.001856356730455907,0.021308371171907068
mmu04721,0.00011168610551805308,0.001996389136135199
mmu05030,0.0013995368438854301,0.01819397897051059
mmu05031,0.002374352747017676,0.02263549618823518
mmu00670,0.001219929300708076,0.01661427523821475
mmu05231,8.423777467652424e-05,0.001606133570499062
