代谢物,VIP值
2-Phenylpropionate,0.4053880935139244
ATP,0.1717552489704075
Acetate,0.8295475546327803
Alanine,1.101509866088759
Arginine,1.2412754707417755
Aspartate,1.4198797079425922
Carnosine,0.49277214861782886
Choline,0.7686060660835541
Creatine,0.8454174200771782
Creatinine,1.9952266894476929
Ethanol,1.2104413422796627
Glucose,0.8560504950363625
Glutamine,0.4044391151711238
Glycerol,0.9113221548729279
Glycine,0.46166025439625363
Guanidoacetate,1.0386800875058328
Lactate,1.8115404979891663
Leucine,0.5937747483815501
Lysine,1.049705632383366
Methanol,1.2635614176884036
Serine,0.7193437649632161
Taurine,1.0922145478095144
Trimethylamine,0.20048703606479618
Valine,0.5012666855557697
