peak,指认结果
0.9156,Isoleucine
0.9238,Isoleucine
0.9318,Isoleucine
0.937,Leucine
0.9438,Leucine
0.948,Leucine
0.955,Leucine
0.9702,Valine
0.9784,Valine
0.9908,Isoleucine
0.9992,Isoleucine
1.0226,Valine
1.031,Valine
1.1596,3-Hydroxybutyrate
1.1796,Ethanol
1.309,Lactate
1.3172,Lactate
1.4594,Alanine
1.468,Alanine
1.9024,Acetate
2.2774,3-Hydroxybutyrate
2.2846,3-Hydroxybutyrate
2.2942,3-Hydroxybutyrate
2.3016,3-Hydroxybutyrate
2.356,Pyruvate
2.431,Glutamine
2.445,Glutamine
2.454,Glutamine
2.508,Citrate
2.5266,Citrate
2.66,Citrate
2.6786,Citrate
3.0213,Creatine
4.6277,Glucose
4.6373,Glucose
6.8771,Tyrosine
6.8867,Tyrosine
7.0455,Histidine
7.1715,Tyrosine
7.1811,Tyrosine
1.7154,Lysine
2.0728,UDP-N-Acetylglucosamine
2.1108,Butyrate
2.3888,Succinate
2.628,Methionine
2.8458,Trimethylamine
3.5434,Glycine
3.5978,Threonine
3.63,Glycerol
5.376,Allantoin
6.5037,Fumarate
7.4107,Phenylalanine
8.459,Formate
